K,alphap,meanE,varE,skewE,kurtE,class
0.22,1.413716694,42.63280312,75.25226664,-1.670498308,4.651652677,two
0.22,1.413716694,41.22593608,70.83469424,-1.491925283,4.308494897,two
0.22,1.413716694,39.61109207,62.24256971,-1.454131406,4.277550667,two
0.22,1.413716694,37.86522495,51.37006086,-1.544348362,4.51049166,two
0.22,1.413716694,36.3589257,47.9206054,-1.284175594,3.984294297,two
0.22,1.413716694,34.9707203,42.51746579,-1.208124766,3.836684539,two
0.22,1.413716694,33.44346783,35.25541728,-1.242490382,3.902559529,two
0.22,1.413716694,32.00511313,28.84470656,-1.281057426,4.101361562,two
0.22,1.413716694,31.01909697,29.56418783,-0.899119153,3.317873206,two
0.22,1.413716694,30.0000796,26.03364052,-0.899153768,3.268942127,two
0.22,1.413716694,28.98886566,21.32707811,-1.036830409,3.59579889,two
0.22,1.413716694,27.64169111,16.36366302,-1.207511542,3.826417527,two
0.22,1.413716694,26.39458662,12.76797299,-1.303579081,4.046272199,two
0.22,1.413716694,25.51338804,10.54867023,-1.45438297,4.378928481,two
0.22,1.413716694,24.56786368,8.60791999,-1.610431209,4.609475595,two
0.22,1.413716694,23.89226152,8.104510789,-1.476237048,4.294178663,two
