alphap,meanE,varE,skewE,kurtE,K
1.413716694,19.19208794,1.755077866,-2.715087811,12.05028286,-0.32
1.413716694,18.5825106,1.498704997,-2.458144956,11.66456133,-0.32
1.413716694,17.96207446,1.349350312,-1.792660388,10.51181197,-0.32
1.413716694,17.29828562,1.301423404,-0.780538437,9.940962576,-0.32
1.413716694,16.90974465,1.633605103,-0.310716537,7.807774932,-0.32
1.413716694,16.38922775,1.354797271,0.555355602,14.27883452,-0.32
1.413716694,15.81670678,1.483862115,1.584108334,16.48069884,-0.32
1.413716694,14.17322232,1.057627584,8.108228629,73.86782251,-0.32
1.413716694,14.30119418,1.095511841,8.084404411,73.48255899,-0.32
1.413716694,14.42564129,1.132238492,8.05214144,72.95713124,-0.32
1.413716694,14.55167573,1.165396434,8.018121078,72.40086557,-0.32
1.413716694,14.67933842,1.194261072,7.984005037,71.84477192,-0.32
1.413716694,14.80834505,1.218287168,7.95070528,71.30778023,-0.32
1.413716694,14.93828657,1.237075605,7.9186195,70.7997391,-0.32
1.413716694,15.06881648,1.250305898,7.887892459,70.32590524,-0.32
1.413716694,15.1995877,1.257792726,7.85830706,69.88479665,-0.32
1.413716694,15.33036348,1.259455087,7.829320988,69.46927413,-0.32
1.413716694,15.46098162,1.255201118,7.800969022,69.07969519,-0.32
1.413716694,15.59133686,1.245207497,7.771863615,68.69502419,-0.32
1.413716694,15.72150192,1.22961093,7.741157544,68.30142309,-0.32
1.413716694,15.8517026,1.208616838,7.707748233,67.88050567,-0.32
1.413716694,15.98212014,1.182488364,7.670586889,67.41443459,-0.32
1.413716694,16.11302689,1.151626761,7.627769931,66.87261429,-0.32
1.413716694,16.24483059,1.116366559,7.577866192,66.2311812,-0.32
1.413716694,16.37808193,1.077055568,7.519260875,65.46362787,-0.32
1.413716694,16.51292319,1.034231571,7.449623057,64.53387303,-0.32
1.413716694,16.65031334,0.988199638,7.367024318,63.41187385,-0.32
1.413716694,16.79089779,0.939384732,7.269107841,62.06281296,-0.32
1.413716694,16.93532788,0.888258336,7.15295837,60.44629111,-0.32
1.413716694,17.0845174,0.835239695,7.015442079,58.52185654,-0.32
1.413716694,17.27285595,0.770461017,6.879274549,56.70038299,-0.32
1.413716694,18.80327132,2.455155732,0.682125899,2.95335955,-0.32
1.413716694,21.56398718,15.44100407,0.799144391,2.843713888,-0.32
1.413716694,21.60915276,21.03121798,0.801042615,2.14153222,-0.32
1.413716694,22.07626633,25.5571287,0.953800405,2.391211302,-0.32
1.413716694,24.02836058,29.53236775,0.430118777,1.762325514,-0.32
1.413716694,24.66616466,34.35981357,0.358233963,1.559042947,-0.32
1.413716694,26.0246258,38.52872984,0.116209419,1.393773084,-0.32
1.413716694,28.0787802,40.24193582,-0.195042782,1.387248912,-0.32
1.413716694,28.59428166,34.87470371,-0.303325317,1.582606692,-0.32
1.413716694,28.65012117,40.1656352,-0.024460431,1.569598105,-0.32
1.413716694,29.24545675,40.92373604,-0.159488292,1.618948517,-0.32
1.413716694,29.69861812,44.8455162,-0.11247695,1.534017252,-0.32
1.413716694,30.78530139,46.14099657,-0.229100129,1.569341828,-0.32
1.413716694,32.14438703,55.35166707,-0.273247327,1.46228708,-0.32
1.413716694,33.40236791,62.31076418,-0.307032724,1.506265254,-0.32
1.413716694,33.92384194,58.87848855,-0.340283572,1.650660836,-0.32
1.413716694,34.78269734,58.22760584,-0.439467729,1.760845086,-0.32
1.413716694,35.52495317,56.55570413,-0.529199031,1.970493257,-0.32
1.413716694,36.23135055,54.59715362,-0.643429928,2.279209783,-0.32
1.413716694,36.96398948,51.68746955,-0.867611304,2.758095183,-0.32
1.413716694,37.71044813,48.96727136,-1.200655781,3.405937148,-0.32
1.413716694,38.28999528,48.89145788,-1.392793776,3.797739122,-0.32
1.413716694,39.2159304,51.77680757,-1.587270174,4.107533085,-0.32
1.413716694,39.56103684,53.92646813,-1.578250054,4.081270725,-0.32
1.413716694,40.15227443,58.21623496,-1.565714281,4.008002505,-0.32
1.413716694,40.53765652,62.08090917,-1.509745183,3.882316021,-0.32
1.413716694,40.75089433,64.78775778,-1.467846674,3.796436633,-0.32
1.413716694,40.68258669,65.35222271,-1.436378889,3.765669135,-0.32
1.413716694,40.5945878,66.15140982,-1.399111201,3.729364169,-0.32
