K,alphap,meanE,varE,skewE,kurtE
-0.06,1.413716694,7.286550603,4.100553203,5.391792873,36.88588034
-0.06,1.413716694,5.679292767,7.939590987,3.423009153,17.39623665
-0.06,1.413716694,11.60393714,1.696598052,7.574410014,65.01985508
-0.06,1.413716694,12.34482391,1.520735867,7.821127161,69.10420416
-0.06,1.413716694,12.79943407,1.46310465,7.895157708,70.44743357
-0.06,1.413716694,13.15121612,1.443892624,7.900077592,70.61177489
-0.06,1.413716694,13.4554355,1.441415008,7.865779772,70.0851473
-0.06,1.413716694,13.73591816,1.446530111,7.806113491,69.10662939
-0.06,1.413716694,14.00477122,1.454441656,7.728820514,67.81713828
-0.06,1.413716694,14.26876959,1.462218412,7.638724756,66.30947056
-0.06,1.413716694,14.53200339,1.467802996,7.539305207,64.65192786
-0.06,1.413716694,14.79575162,1.470223208,7.431858898,62.87782681
-0.06,1.413716694,15.06250742,1.468044403,7.318247074,61.02589477
-0.06,1.413716694,15.33252709,1.460651825,7.199148674,59.11522523
-0.06,1.413716694,15.60602347,1.447511416,7.075012466,57.16030233
-0.06,1.413716694,15.88256786,1.42865358,6.944577519,55.15067748
-0.06,1.413716694,16.1617801,1.40397915,6.807474567,53.08877662
-0.06,1.413716694,16.44420257,1.373041724,6.664288613,50.98771339
-0.06,1.413716694,16.72909168,1.336294802,6.513139177,48.82987783
-0.06,1.413716694,17.01579078,1.294159699,6.352525359,46.60510476
-0.06,1.413716694,17.5462877,1.288948602,5.318974866,36.71289262
-0.06,1.413716694,19.66386046,4.967451187,0.427491689,1.823512871
-0.06,1.413716694,22.68444305,22.19520773,0.681541162,2.541281635
-0.06,1.413716694,22.77072077,30.51453604,0.979021335,2.709034245
-0.06,1.413716694,23.56822104,41.60964204,0.898264288,2.267462457
-0.06,1.413716694,24.62219124,45.42404841,0.867447708,2.321897802
-0.06,1.413716694,25.95475354,58.46839095,0.778275755,2.168520413
-0.06,1.413716694,29.20220473,61.41494299,0.182133062,1.636845892
