K,alphap,meanE,varE,skewE,kurtE,class
-0.29,0.366519143,55.90071174,106.2594325,-0.159385048,6.353475404,one
-0.29,0.383972435,57.88691572,110.0830513,-0.549116434,6.386535264,one
-0.29,0.401425728,59.7409164,113.7196332,-0.944067609,6.47781361,one
-0.29,0.41887902,61.50470547,119.9642432,-1.244138047,6.48113446,one
-0.29,0.436332313,63.18046118,130.4142435,-1.382262363,6.287223228,one
-0.29,0.453785606,64.70210565,143.4922576,-1.413421833,5.972240605,one
-0.29,0.471238898,65.98765435,157.4048986,-1.38812237,5.622809827,one
-0.29,0.488692191,66.98516229,172.2201102,-1.293587493,5.257269007,one
-0.29,0.506145483,67.56733597,183.5747257,-1.208462131,4.977866112,one
-0.29,0.523598776,67.78956274,193.991968,-1.078410277,4.71158895,one
-0.29,0.541052068,67.72845701,206.9545698,-0.861631471,4.417608351,one
-0.29,0.558505361,67.50497135,228.4439181,-0.524602535,4.087486609,one
-0.29,0.575958653,67.3026257,267.3287228,-0.100598783,3.724794831,one
-0.29,0.593411946,67.07176844,318.8896373,0.230670208,3.341660866,one
-0.29,0.610865238,66.67686468,371.9139004,0.397209059,2.893379252,one
-0.29,0.628318531,65.98411265,413.6592157,0.433470297,2.441642881,one
-0.29,0.645771823,65.26165168,460.5337093,0.446414866,2.089831641,one
-0.29,0.663225116,64.39843492,500.6289377,0.448651564,1.882837114,one
-0.29,0.680678408,62.41888356,454.1077376,0.355870628,1.810498315,one
-0.29,0.698131701,59.03370961,323.3366689,0.032755462,1.653243107,one
-0.29,0.715584993,57.53246122,305.4940852,-0.059646219,1.627388349,one
-0.29,0.733038286,55.4657919,265.6860365,-0.233567069,1.550364342,one
-0.29,0.750491578,53.19139688,226.049884,-0.391058939,1.545355636,one
-0.29,0.767944871,51.73842812,213.4962694,-0.475186876,1.552074226,one
-0.29,0.785398163,49.60115871,185.9555764,-0.550875841,1.637645623,one
-0.29,0.802851456,45.87259887,128.7717578,-0.71891452,1.868326339,one
-0.29,0.820304748,41.03948669,87.13307014,-0.442908246,1.911074339,one
-0.29,0.837758041,38.21099265,73.6113238,-0.307106903,1.741077372,one
-0.29,0.855211333,35.99356011,63.49117037,-0.284865425,1.637410709,one
-0.29,0.872664626,33.84736063,54.91469701,-0.276896583,1.529967586,one
-0.29,0.890117919,31.86899495,47.4094563,-0.29196299,1.464241442,one
-0.29,0.907571211,30.86254212,34.73066561,-0.460932277,1.747339818,one
-0.29,0.925024504,28.23103461,35.3205141,-0.215399658,1.379338115,one
-0.29,0.942477796,26.9084296,21.64311495,-0.37550172,1.799245642,one
-0.29,0.959931089,26.63097994,19.92278131,-0.627553283,1.850997941,one
-0.29,0.977384381,25.3535109,16.8090683,-0.62582087,1.910984325,one
